Date,Open,High,Low,Close,Volume,Adj Close,Wildfire,Hurricane,Flood,Blizzard,Snowstorm,Tornado,Covid,Season,Inflation Rate
2016-01-22,15921.09961,16136.79004,15921.09961,16093.50977,145850000,16093.50977,No,No,No,Yes,No,No,No,Winter,1.4
2016-01-21,15768.87012,16038.58984,15704.66016,15882.67969,145140000,15882.67969,No,No,No,Yes,No,No,No,Winter,1.4
2016-01-20,15989.4502,15989.4502,15450.55957,15766.74023,191870000,15766.74023,No,No,No,Yes,No,No,No,Winter,1.4
2016-01-19,16009.4502,16171.95996,15900.25,16016.01953,144360000,16016.01953,No,No,No,Yes,No,No,No,Winter,1.4
2016-01-15,16354.33008,16354.33008,15842.11035,15988.08008,239210000,15988.08008,No,No,No,No,No,No,No,Winter,1.4
2016-01-14,16159.00977,16482.05078,16075.12012,16379.04981,158830000,16379.04981,No,No,No,No,No,No,No,Winter,1.4
2016-01-13,16526.63086,16593.50977,16123.2002,16151.41016,153530000,16151.41016,No,No,No,No,No,No,No,Winter,1.4
2016-01-12,16419.10938,16591.34961,16322.07031,16516.2207,117480000,16516.2207,No,No,No,No,No,No,No,Winter,1.4
2016-01-11,16358.70996,16461.84961,16232.03027,16398.57031,127790000,16398.57031,No,No,No,No,No,No,No,Winter,1.4
2016-01-08,16519.16992,16651.89063,16314.57031,16346.4502,141850000,16346.4502,No,No,No,No,No,No,No,Winter,1.4
2016-01-07,16888.35938,16888.35938,16463.63086,16514.09961,176240000,16514.09961,No,No,No,No,No,No,No,Winter,1.4
2016-01-06,17154.83008,17154.83008,16817.61914,16906.50977,120250000,16906.50977,No,No,No,No,No,No,No,Winter,1.4
2016-01-05,17147.5,17195.83984,17038.60938,17158.66016,105750000,17158.66016,No,No,No,No,No,No,No,Winter,1.4
2016-01-04,17405.48047,17405.48047,16957.63086,17148.93945,148060000,17148.93945,No,No,No,No,No,No,No,Winter,1.4
2015-12-31,17590.66016,17590.66016,17421.16016,17425.0293,93690000,17425.0293,No,No,No,No,No,No,No,Winter,0.7
2015-12-30,17711.93945,17714.13086,17588.86914,17603.86914,59760000,17603.86914,No,No,No,No,No,No,No,Winter,0.7
2015-12-29,17547.36914,17750.01953,17547.36914,17720.98047,69860000,17720.98047,No,No,No,No,No,No,No,Winter,0.7
2015-12-28,17535.66016,17536.90039,17437.33984,17528.26953,59770000,17528.26953,No,No,No,No,No,No,No,Winter,0.7
2015-12-24,17593.25977,17606.33984,17543.94922,17552.16992,40350000,17552.16992,No,No,No,No,No,No,No,Winter,0.7
2015-12-23,17427.63086,17607.91992,17427.63086,17602.60938,92820000,17602.60938,No,No,No,No,No,No,No,Winter,0.7
2015-12-22,17253.55078,17451.10938,17242.85938,17417.26953,91570000,17417.26953,No,No,No,No,No,No,No,Winter,0.7
2015-12-21,17154.93945,17272.35938,17116.73047,17251.61914,114910000,17251.61914,No,No,No,No,No,No,No,Winter,0.7
2015-12-18,17495.03906,17496.58008,17124.31055,17128.55078,344560000,17128.55078,No,No,No,No,No,No,No,Winter,0.7
2015-12-17,17756.53906,17796.75977,17493.5,17495.83984,115780000,17495.83984,No,No,No,No,No,No,No,Winter,0.7
2015-12-16,17530.84961,17784.35938,17483.67969,17749.08984,123790000,17749.08984,No,No,No,No,No,No,No,Winter,0.7
2015-12-15,17374.7793,17627.63086,17341.17969,17524.91016,123430000,17524.91016,No,No,No,No,No,No,No,Winter,0.7
2015-12-14,17277.10938,17378.01953,17138.4707,17368.5,142540000,17368.5,No,No,No,No,No,No,No,Winter,0.7
2015-12-11,17574.75,17574.75,17230.5,17265.21094,134510000,17265.21094,No,No,No,No,No,No,No,Winter,0.7
2015-12-10,17493.16992,17697.74023,17474.66016,17574.75,107310000,17574.75,No,No,No,No,No,No,No,Winter,0.7
2015-12-09,17558.17969,17767.68945,17403.50977,17492.30078,122020000,17492.30078,No,No,No,No,No,No,No,Winter,0.7
2015-12-08,17703.99023,17703.99023,17485.39063,17568,113720000,17568,No,No,No,No,No,No,No,Winter,0.7
2015-12-07,17845.49023,17845.49023,17639.25,17730.50977,99670000,17730.50977,No,No,No,No,No,No,No,Winter,0.7
2015-12-04,17482.67969,17866.4707,17482.67969,17847.63086,137650000,17847.63086,No,No,No,No,No,No,No,Winter,0.7
2015-12-03,17741.57031,17780.58984,17425.56055,17477.66992,126990000,17477.66992,No,No,No,No,No,No,No,Winter,0.7
